kernel,view,time_us,p95_tile_us,p99_tile_us,warp_eff,branch_div,mem_coalesce,l2_miss_rate
physics_step,1,84,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,78,0,0,1,0,1,0
physics_step,1,85,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,86,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,80,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,80,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,78,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,80,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,79,0,0,1,0,1,0
physics_step,1,78,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,79,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,79,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,79,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,79,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,78,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,87,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,73,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,78,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,71,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,71,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,86,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,88,0,0,1,0,1,0
physics_step,1,73,0,0,1,0,1,0
physics_step,1,71,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,71,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,71,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
